Pop,Rock,R&B,Alternative,Indie,Electronic,Experimental,Brazilian,Hip-Hop,Progressive Rock,Heavy Metal,MPB (Brazilian Popular Music),Art Pop,Folk,Country,Vaporwave,Dance,Soul,Indie Rock,Post-Punk,Alternative Rock,Classic Rock,Psychedelic Rock,Blues Rock,Brazilian Rock,Punk,Grunge,Jazz,Hip Hop,Rap,MPB,Bossa Nova,Indie Pop,Synth-pop,Pop Rock,Blues,Trip Hop,New Wave,K-pop,Metal,Latin,Post-Hardcore,Metalcore,Pop Punk,Deathcore,Hardcore,Hard Rock,Britpop,K-Pop,French Pop,Balkan Music,French Music,Pop-Rock,Reggaeton,Power Metal,Melodic Death Metal,Progressive Metal,Symphonic Metal,Ballad,J-Pop,Synthpop,Industrial,Teen Pop,J-Rock,Alternative Metal,Visual Kei,Nu Metal,Video Game Music,Emo,Punk Rock,Post-Grunge,Funk,Classical,Trance,Thrash Metal,Dance-pop,Electro-pop,New Age,Soundtrack,Symphonic Rock,Punk Pop,user_id
0.9,0.7,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340
0.8,0.5,,0.7,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341
0.9,,0.8,,0.5,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342
0.9,,0.7,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343
0.6,,,,,,,,,0.8,0.7,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346
,,,0.8,0.9,0.5,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347
,0.9,,0.6,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348
0.8,,,0.7,0.7,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350
0.9,,0.7,,,,,,0.5,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351
0.7,0.6,,0.8,0.9,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352
,,,,,0.6,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353
0.9,0.6,0.7,0.5,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354
0.9,0.6,,0.8,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355
,,,,,,,,,0.8,,,,,,,,,,,,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356
,,,,,,,,,,,,,,,,,,0.8,0.6,0.9,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358
0.9,0.6,,,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359
0.9,,0.7,,,0.5,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360
0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361
