Electronic,Rock,Indie,Experimental,Synthpop,Pop,R&B,MPB,Dance,Soul,Alternative,Classic Rock,Britpop,Electropop,Indie Pop,Art Pop,Alternative Rock,Latin,Country,Indie Rock,MPB (Brazilian Popular Music),Folk,Alternative R&B,World,Metal,Punk,Synth-pop,Punk Rock,Hip Hop,Garage Rock,Hip-Hop,Brazilian,K-Pop,Trance,Post-Punk,Psychedelic Rock,Blues Rock,Shoegaze,Psychedelic,Pop Punk,Post-Hardcore,Brazilian Music,Pop-Rock,Samba,Ambient,Pop Rock,Sertanejo,user_id
0.9,0.7,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731
,0.6,,,,0.9,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732
0.6,,,,,1.0,0.7,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1733
,0.9,0.7,,,,,,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734
0.8,,,,0.8,,,,,,0.7,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736
0.5,0.6,0.7,,,0.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737
0.6,,0.9,,,0.8,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1738
0.6,,0.9,,,0.7,,,,,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739
0.6,,,0.7,,0.5,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740
0.6,0.5,0.9,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1741
0.6,,,,,1.0,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743
0.5,,0.8,,,0.9,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744
,,0.5,,,0.9,0.8,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745
0.7,0.5,0.6,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746
0.6,0.5,0.8,,,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747
,,,0.8,,,,,,,,,,0.7,,0.9,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1748
0.7,,0.8,,,0.9,,,,,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1749
0.6,,,,,,,,,,,,,,0.7,0.9,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,1750
,0.8,0.7,,,0.7,,,,,0.9,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,1751
,0.9,,,,0.6,,,,,0.8,,,,,,,,,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1752
,,,,,,,,,,,,,0.9,0.7,0.8,,,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,1753
0.5,0.6,0.7,,,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754
,,,,,,,,,,,,,,,,0.8,,,0.7,,,,,,,,0.6,0.5,0.6,,,,,,,,,,,,,,,,,,1755
0.7,,0.5,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756
0.5,0.6,0.9,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757
,0.6,0.9,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1759
0.5,,0.4,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,1760
,,0.6,,,0.9,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,1761
,0.9,0.5,,,0.6,,,,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,1763
,0.6,,,,0.9,0.7,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764
0.6,,0.7,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765
0.6,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,1766
0.4,,,,,1.0,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,1767
0.5,0.7,0.9,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,1768
0.8,,,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,1769
0.7,,0.8,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,1770
,0.7,0.9,,,0.8,,,,,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1771
0.5,0.6,0.8,,,0.9,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772
,0.7,0.8,,,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,1773
,0.6,0.7,,,0.8,,,,,,,,,,,,,,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,1775
