Indie,Alternative,Rock,New Wave,Pop,Punk,Experimental,Folk,Classic Rock,Psychedelic,Metal,Hip Hop,Psychedelic Pop,Jazz,Indie Rock,Electronica,Psychedelic Rock,Shoegaze,Space Rock,Industrial,Electronic,Post-Punk,Ambient,Progressive Rock,Hip-Hop,Cloud Rap,Synthpop,Gypsy Jazz,Alternative Rock,Lo-Fi,Garage Rock,Country,Gothic,R&B,Classical,Pop Rock,Darkwave,Soul,Synth-pop,Dance,Latin,K-Pop,Blues,Heavy Metal,Reggae,Metalcore,Teen Pop,Soundtrack,Latin Rock,Funk,Electropop,Punk Rock,Arabic Pop,Western Pop,Contemporary R&B,Show Tunes,Trip Hop,Eurovision,Power Metal,Symphonic Metal,Hard Rock,Rap,Gangsta Rap,Southern Rap,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446
0.9,0.8,0.8,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447
0.9,0.8,,,,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448
0.7,,,,,0.9,0.6,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449
,,,,,,0.7,,,,,,0.8,0.6,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450
0.9,0.8,0.8,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451
,,,,,,,,,,,,,,0.7,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2452
0.9,0.8,0.7,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453
0.9,0.8,0.8,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2454
,,0.6,0.5,,,0.7,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455
0.7,,0.9,,0.8,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456
0.9,0.7,0.8,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457
0.9,0.8,0.7,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459
,,,,,,0.7,,,,,,,,,,,,,0.6,0.9,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460
0.9,0.8,,,,,,0.6,,,,,,,,,,,,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461
,,,,,,0.8,,,,,,,,,,0.9,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462
0.9,0.8,,,,,0.6,0.7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463
,,,,,,0.9,,,,,,,,,,,,,0.6,0.7,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464
,,,0.8,,,,,,,,,,,,,,,,,,0.9,,,,,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467
0.9,,,,,,0.6,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468
0.8,0.9,,,,0.6,,,,,,,,,,,,,,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2469
0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2470
,,,,,0.6,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471
0.7,0.5,,,,,0.6,,,,,,,,,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2472
0.9,0.8,,,,0.6,,,,0.7,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473
,,0.9,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2474
,,0.9,,,,0.7,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475
0.7,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2476
,0.7,,,,,,0.5,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2477
0.8,0.7,,,,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478
0.9,0.6,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2481
0.9,,0.8,,0.6,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2482
,,0.8,,0.6,,0.9,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483
0.9,0.8,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484
,,,,,,0.6,,,,,,,,0.8,,,,,,0.8,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2485
0.6,0.9,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2486
0.9,0.8,0.6,,,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2487
