Alternative Rock,Pop,Punk,J-Rock,Indie,Indie Pop,R&B,Dance,Electropop,Rock,Alternative,Jazz,Hip-Hop,Rap,K-Pop,Electronic,Country,Brazilian,Pop-Rock,Electro Pop,Folk,Indie Rock,Teen Pop,Samba,Grunge,Brazilian Pop,Hip Hop,Trap,Dance Pop,Pop Rock,Soul,Pop Punk,Post-Hardcore,Funk Rock,Gospel,Acapella,Reggaeton,Classical,Latin,New Age,Adult Contemporary,Art Pop,Metal,Synth-pop,MPB (Brazilian Popular Music),Contemporary,Italian Music,Dance-Pop,Experimental,Sertanejo,Ax\u00e9,Psychedelic Rock,Nu Metal,Hard Rock,Christian Rock,Reggae,Brazilian Hip-Hop,Acoustic,Ambient,Emo,MPB,Contemporary R&B,Funk,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469
,1.0,,,,0.8,0.6,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470
,0.9,,,0.8,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471
,0.8,,,,,0.9,,,,,,1.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472
,0.8,,,,,,,,0.7,0.6,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473
,0.9,,,0.6,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474
,1.0,,,,,0.8,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475
,0.9,,,0.7,,,,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476
,1.0,,,,,0.7,0.8,,0.5,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477
,0.7,,,0.9,,,,,0.6,0.8,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478
,0.8,,,0.6,,,,,0.9,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479
,0.9,,,0.6,,,,,0.7,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480
,,,,,0.9,,,,,0.8,,,,,,,,,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481
,0.9,,,,,0.7,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482
,0.9,,,,,,0.8,,,,,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483
0.9,,,,0.8,,,,,,,,,,,,,,,,,,,0.6,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484
,,,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486
,0.8,,,0.9,,0.6,,,,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487
,0.9,,,0.7,,,,,,0.7,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488
,0.9,,,0.5,,,,,0.6,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491
,0.9,,,0.7,,,,,0.7,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492
,0.9,,,0.7,,,,,0.6,,,,,0.4,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493
,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494
,0.9,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495
0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496
,1.0,,,,,0.8,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497
,0.8,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498
0.7,0.9,,,,,0.7,,,,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499
,0.9,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
,0.9,,,,,0.7,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,502
,0.8,,,,,0.6,0.7,,,0.5,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503
,0.9,,,0.6,,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504
,0.8,,,0.8,,,,,0.7,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505
,0.7,,,0.8,,,,,0.8,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506
,0.6,,,0.8,,,,,0.8,,,0.2,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,507
,0.9,,,0.5,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,508
,0.8,,,0.7,,,,,,0.7,,,,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509
