Heavy Metal,Thrash Metal,Rock,Alternative,Rap,Electronic,Metal,Drum and Bass,Dance,Jazz,Pop,Film Score,Post-Punk,Indie Rock,Alternative Rock,New Wave,Punk,Indie,Hip Hop,Polish Rap,Reggae,Hardcore,Hip-Hop,Post-Hardcore,Alternative Metal,Indie Pop,Soundtrack,Art Pop,Progressive Rock,World Music,Folk,Grunge,Post-Grunge,Punk Rock,Pop Rock,Soul,Trip-Hop,R&B,Polish,Latin,LGBT+,Psychedelic Rock,Ambient,Gothic Rock,Nu Metal,Hard Rock,Industrial,MPB (Brazilian Popular Music),Classical,K-Pop,Symphonic Metal,Psychedelic,Funk,Relaxation,Metalcore,Acoustic,EDM,Reggaeton,Latin Pop,Trap,Death Metal,Black Metal,Synth-pop,Disco,Samba,Pop Punk,Country,Electropop,J-Pop,Instrumental,Video Game Music,Blues Rock,Psychedelic Pop,Teen Pop,Brazilian Rock,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8214
,,0.8,,,0.7,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8216
,,,0.7,,0.6,,,,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8219
,,,,,0.5,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8220
,,0.9,0.8,,0.7,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8222
,,0.9,0.8,,0.5,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8223
,,,,,0.8,,0.7,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8224
,,0.6,0.8,,0.5,,,,,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8225
,,,,,,,,,,,,,,,,0.9,,,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8227
,,,,,,,,,,,,,0.8,0.9,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8229
