Black Metal,Death Metal,Folk Metal,Symphonic Metal,Heavy Metal,Punk Rock,Thrash Metal,Hard Rock,Alternative,Rock,Experimental,Metal,Indie,Psychedelic,Post-Punk,Pop,Classic Rock,Blues,Electronic,Folk,Pop Punk,Trance,Emo,Indie Folk,Alternative Rock,R&B,Hip-Hop,Dance,Skate Punk,Latin,Punk,Industrial,Progressive Rock,Pop Rock,Nu Metal,Teen Pop,Dance-pop,Soundtrack,Post-Hardcore,J-Rock,Synthpop,Indie Pop,Dream Pop,K-Pop,Shoegaze,Indie Rock,Grunge,Rap,Christian/Gospel,Country,Sertanejo,Brazilian Indie,Soul,Brazilian,Brazilian Pop,MPB,New Wave,Electropop,Pagan Metal,Celtic,Alternative Metal,Post-Rock,Reggae,Gothic,Islamic Music,Classical,Hip Hop,Polish,Pop-Rock,Art Rock,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7110
,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7111
,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7112
,,,,,,,,0.8,0.8,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7113
,,,,,,,,,0.9,,,0.6,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7114
,,,,,,,,0.7,0.8,,,0.9,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7115
,,,,,,,,0.7,0.6,,,0.7,,,0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7116
,,,,,,,,,0.8,,0.9,,,,,,,0.7,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7117
,,,,,,,,,,,,,,,,,,,,0.9,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7118
,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7119
,,,,,,,,0.8,0.5,,,0.9,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7120
,,,,,0.9,,,,,,,,,,,,,,,0.8,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7121
,,,,,,,,0.8,0.9,,0.5,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7122
,,,,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7123
,,,,,,,,0.9,0.8,,,0.5,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7124
,,,,,,,,0.8,0.9,,0.7,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7125
,,,,,,,,0.8,0.9,,,0.6,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7126
,0.5,,0.7,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7127
,,,,,,,,,,,,,,,,,,0.7,,,,,,0.9,,,,,,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7128
,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.7,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7129
,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7130
,,,,,,,,0.9,,0.7,,0.8,,,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7131
,,,,,,,,0.6,,,,0.5,,,0.9,,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7132
,,,,,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7133
,,,,,,,,0.4,0.6,,,0.5,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7134
,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.5,0.8,0.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,7135
,,,,,0.5,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.6,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,7136
,,,,,,,,0.8,0.7,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7138
,,,,,,,,0.8,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,7139
,,,,,,,,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,7141
,,,,,,,,0.4,0.7,,,,,,0.9,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7142
,,,,,,,,0.8,0.9,,,0.6,,,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7144
,,,,,,,,,,,,,,,,,,,,0.8,,,,0.9,,,,,,,,,,,,,,0.6,,,,,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,7145
,,,,,,,,0.7,0.6,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7146
,,,,,,,,0.7,0.8,,0.6,0.5,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7147
,,,,,,,,,,,,,,,,,,,,0.9,,0.7,,0.8,,,,,,,,,,,,,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,7148
,,,,,,,,,0.6,,0.3,,,,0.9,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7149
,,,,,0.8,,,,,,,,,,,0.5,,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,7150
,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.7,,0.6,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7151
,,,,,,,,,0.8,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,7152
,,,,,,,,,0.8,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,7153
,,,,,,,,0.8,0.9,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,7154
,,,,,,,,0.8,0.9,,,,,,0.7,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7155
,,,,,,,,0.8,0.9,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,7156
,,,,,,,,0.9,0.7,,0.6,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7157
,,,,,,,,,0.7,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,7158
,,,,,,,,0.8,0.9,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,7160
,,,,,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,0.9,,,,0.7,,,,,,,,,,,,0.8,,,,,,,,,,,,,7161
,,,,,,,,0.7,,,,0.9,,,0.8,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7162
,,,,,,,,0.5,0.7,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7163
,,,,,,,,0.8,0.8,,,0.9,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7164
,,,,,,,,0.7,0.7,,,0.6,,,0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7165
,,,,,,,,0.8,0.7,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,7166
,,,,,,,,0.8,0.9,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7167
,,,,,,,,0.8,0.9,,,0.8,,,,0.7,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7168
,,,,,,,,0.6,0.9,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7169
,,,,,,,,,,,,,,,,,,,,0.9,,0.7,,0.8,,,,,,,,,,,,,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,7170
,,,,,,,,0.8,0.9,,0.6,,,,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7171
,,,,,,,,0.7,0.5,,,0.8,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7172
,,,,,,,,0.8,0.7,,,0.9,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7173
,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,7174
,,,,,,,,,0.8,,0.9,,,,,,,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7175
,,,,,,,,0.9,0.6,0.5,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7176
,,,,0.9,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,7178
,,,,,,,,0.8,0.7,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,7181
,,,,,,,,0.8,0.9,,0.7,,,,,,,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7182
,,,,,,,,0.7,0.5,,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,7183
,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,7184
,0.8,,,,,,,,0.8,,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,7185
,,,,,,,,0.7,0.9,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,7186
,,,,,,,,0.7,0.9,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,7187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.9,1.0,,,7188
,,,,,,,,0.6,0.9,,,0.8,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,7189
,,,,,,,,0.7,,,,0.6,,,0.9,,,0.4,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7190
,,,,,,,,0.5,,,,0.6,,,0.9,,,,0.4,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7193
,,,,,,,,0.6,,,,0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,7194
,,,,,,,,0.6,,,,,,,0.9,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,7196
,,,,,,,,0.7,0.6,,,0.8,,,0.9,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7197
,,,,,,,,0.5,,,,0.7,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7198
,,,,,,,,0.7,0.6,,,,,,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,7199
,,,,,,,,0.9,0.7,,,0.8,,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7201
,,,,,,,,0.6,0.7,,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7202
,,,,,,,,0.9,0.8,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,7203
,,,,,,,,0.8,0.9,,0.5,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,7204
,,,,,,,,0.6,0.8,,,0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7205
,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.7,0.6,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,7206
,,,,,,,,0.6,0.8,,,0.7,,,0.9,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7207
,,,,,,,,0.8,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,7208
,,,,,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,7210
,,,,,,,,0.9,0.8,,,0.8,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7211
,,,,,,,,0.8,0.8,,,0.9,,,0.7,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7212
,,,,,,,,0.6,0.9,,,0.8,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7213
,,,,,,,,0.8,0.9,,,0.7,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7215
,,,,,,,,0.9,0.6,,,0.8,,,,,,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7217
,,,,,,,,,,,,,,,,,,,,0.8,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,7218
,,,,,,,,0.8,0.9,,,,,,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,7220
,,,,,,,,0.8,0.7,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7221
,,,,,,,,,,,,,,,,,,,,,,0.7,,0.9,,,,,,,,,0.5,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,7223
,,,,,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.7,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,7224
,,,,,,,,0.9,0.7,,0.5,0.6,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7225
