Alternative Rock,Indie Rock,Pop,Rap,Punk,Alternative,Rock,Gothic,Metal,R&B,Latin,Country,Indie,Reggae,Electronic,Dance,Grindcore,Hardcore,Pop Punk,Post-Hardcore,Emo,Post-Punk,Garage Rock,Folk,Soul,K-Pop,Industrial,Grunge,Punk Rock,Brazilian Rock,Heavy Metal,Hard Rock,Folk Metal,Hip-Hop,Death Metal,Symphonic,Brazilian Indie,Post-Punk Revival,Progressive Rock,Christian Rock,Thrash Metal,Hardcore Punk,Psychedelic Rock,Blues,Experimental,Gothic Metal,Symphonic Metal,Power Metal,Progressive Metal,J-Rock,Metalcore,Shoegaze,Gospel,Post-Grunge,Nu Metal,Hardstyle,Symphonic Rock,French Pop,Indie Pop,Dream Pop,Electropop,Alternative R&B,Synth-pop,Classic Rock,Pop Rock,Ambient,Art Pop,Brazilian,Post-Britpop,Indie Folk,Hip Hop,MPB,Classical Crossover,Latin Pop,Psychedelic,Post-grunge,Film Score,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6878
,,0.5,,0.6,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6879
,,,,0.6,0.7,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6880
,,0.9,,,,0.7,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6881
,,0.9,,,0.4,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6882
,,0.7,,,0.8,0.8,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6883
,,0.9,,,0.7,0.8,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6884
,,0.9,,,0.6,0.7,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6885
,,,,0.9,,,,0.8,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6886
0.8,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6887
,,0.8,,,0.9,0.7,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6888
,,,,,0.8,0.7,,,,,,0.9,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6889
,,0.9,,,,0.5,,,0.6,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6890
,,0.9,,,,,,,,,,,,0.7,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6891
