Alternative,Electronic,Experimental,Indie,Rock,Alternative Rock,Industrial,Grunge,Punk,Progressive,Rap,Hip-Hop,Pop Punk,Classic Rock,Folk,Downtempo,Trip Hop,Electronica,Ambient,Dub,Pop,Grindcore,Metal,Classical,Hip Hop,Funk,Hardcore,Alternative Metal,Progressive Rock,Nu Metal,Experimental Rock,R&B,Psychedelic,World,Post-Rock,Jazz Fusion,Indie Rock,Latin,Nu Jazz,Reggae,New Wave,Industrial Rock,Heavy Metal,Synthpop,K-Pop,Dance,Teen Pop,Country,Sertanejo,Brazilian Hip-Hop,MPB,Synth-pop,Soul,Adult Contemporary,Jazz,J-Pop,Shoegaze,Gospel,Dream Pop,Christian Rock,EBM,Darkwave,Symphonic Metal,Pop Rock,Italian Music,Eurovision,Dance-pop,Gothic,Chillwave,user_id
0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2794
,0.8,,,,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795
0.9,,,0.7,0.8,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2797
,,,,0.8,,,,,,,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2798
,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2799
,0.8,,,0.7,,,,,,,,,,0.5,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800
0.8,,,0.7,0.9,,,,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802
0.7,,,0.7,0.9,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2803
0.8,,,0.7,0.9,,,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2805
0.7,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2806
,,,,0.8,,,,0.9,,,,,,,,,,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2807
0.8,0.6,,,0.9,,,,,0.5,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2808
,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2809
,0.6,,0.7,0.5,,,,,,,,,,0.4,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810
0.9,,,,0.8,,,,,,,,,,,,,,,,0.6,,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2811
,0.8,,,,,,,,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2813
,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2814
,,,,,0.8,,,0.9,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2815
0.9,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816
,,,,,,,,,,,,,,,0.7,0.9,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817
0.9,0.8,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2819
0.7,,,,,,,,,,0.8,,,,,,,,,,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820
0.8,0.9,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2821
0.7,0.8,,0.9,0.5,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2822
,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2823
,0.8,,,0.7,,0.9,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2824
0.9,,,0.8,0.9,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2825
