Rock,Pop,Metal,Country,Pop Rock,Alternative,Nu-Metal,Hard Rock,Alternative Metal,Post-Grunge,Indie,Punk,Electronic,R&B,Hip-Hop,Grunge,Heavy Metal,Industrial,Black Metal,Power Metal,Symphonic Metal,Progressive Metal,Death Metal,Progressive Rock,Alternative Rock,Folk Metal,Classic,Speed Metal,Thrash Metal,Brazilian Rock,Extreme Metal,Grindcore,Classic Rock,Melodic Death Metal,Gothic Metal,Industrial Metal,Symphonic,Reggae,Rap,Hardcore,Hip Hop,New Age,Experimental,Nu Metal,Celtic,Neue Deutsche H\u00e4rte,Neoclassical,Folk,Classical,Pop Punk,Groove Metal,Epic Music,Jazz Pop,Christian/Gospel,Dancehall,Blues,Dance,Soul,Boy Band,K-Pop,Teen Pop,J-Pop,Latin,Latin Pop,MPB (Brazilian Popular Music),Flamenco,Schlager,Classical Crossover,World,Broadway,Children's Music,Ambient,Indie Rock,Soundtrack,user_id
0.9,0.8,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7843
0.9,,0.8,,,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7844
0.9,,,,,,,0.8,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7846
0.8,,,,,0.9,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7847
0.5,0.7,,,,,,,,,,,0.6,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7848
,,,,,,,,,,,0.7,,,,0.8,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7849
0.5,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7850
,,0.9,,,,,,,,0.6,0.7,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7851
,0.5,,,,,,,,,,,,,,,,,,0.7,,,,0.6,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7852
0.9,0.8,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7853
,,,,,,,0.7,,,,,,,,,0.9,,,0.8,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7854
,,,,,,,,,,,,,,,,0.8,,,0.9,0.7,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7855
0.9,,0.7,,,0.8,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7857
,,,,,,,0.8,,0.5,,,,,,,0.9,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7858
,,,,,,,,,,,,,,,,,,,0.9,,,,,,0.8,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7859
,,,,,,,,,,,,,,,,0.6,,0.8,,,,0.9,,,0.5,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7860
,,,,,,,0.8,,,,,,,,,0.8,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7861
,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7862
0.8,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7863
,,,,,,,,,,,,,,,,,,,0.9,0.7,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7864
0.8,,,,,,,0.5,,,,,,,,,0.9,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7865
,,,,,,,,,,,,,,,,,,0.5,0.8,0.9,,,,,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7866
0.9,,0.8,,,0.5,,,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7867
0.7,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7868
,,0.7,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.8,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7869
,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7870
0.9,0.7,0.8,,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7871
,,,,,,,0.6,,,,,,,,,0.9,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7875
,,,,,,,,,,,,,,,,,,,0.7,0.9,,,0.8,,0.6,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7876
,,,,,,,,,,,,,,,,,,,0.8,,,,0.9,0.6,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7877
0.9,0.6,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7878
,,,,,,,0.9,,,,,,,,,1.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7879
,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7880
0.9,0.6,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7881
,,,,,,,0.6,,,,,,,,,0.8,,,0.9,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7884
,,0.9,,,,,,,,,,,,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,7885
,,,,,,,0.7,,,,,,,,,0.9,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7886
,,0.9,,,,,,,,,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,7888
,,0.9,,,,,,,,,,,,,,,,,,,,0.8,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,7889
0.8,,0.9,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7890
,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,7892
0.7,0.8,,,,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7893
0.6,0.8,,,,0.7,,,,,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7894
,,,,,,,,,,0.9,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,7895
0.6,0.9,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,7896
0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,7897
0.7,,,,,,,,,,0.5,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,7898
0.6,0.9,,0.5,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,7899
,0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,7900
0.7,0.9,,0.6,,0.4,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7901
,0.9,,,,,,,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,7902
0.7,0.9,,,,,,,,,0.6,0.5,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7903
