Pop,R&B,Country,Rock,Dance,Electronic,Metal,Alternative,Latin,Indie,Indie Pop,Electropop,Alternative Rock,Nu Metal,Post-Grunge,Hip-Hop,K-Pop,Dance-Pop,Pop-Rock,Heavy Metal,Hard Rock,Thrash Metal,Power Metal,Ambient,Gothic Metal,Darkwave,Sertanejo,Dream Pop,Post-Punk,MPB (Brazilian Popular Music),Symphonic Metal,Gothic,Soul,Synth-pop,Brazilian Music,Pop Rock,Folk,Experimental,Rap,Vaporwave,Samba,French Pop,Punk,Shoegaze,Jazz,Psychedelic,Indie Rock,Psychedelic Rock,Hip Hop,Electro,Progressive Rock,Experimental Hip Hop,New Wave,Glam Rock,Post-Hardcore,Grunge,Goth,Brazilian,Post-Rock,Hardcore Punk,Progressive Metal,Brazilian Rock,Punk Rock,Hardcore,Reggae,Psytrance,Dub,Brazilian Rap,Classical,Brazilian Hip-Hop,MPB,Trap,Underground,Synthpop,Indie Electronic,Alternative Dance,Acoustic,Pop Punk,New Age,Art Pop,Funk,Contemporary,user_id
0.9,0.7,0.6,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846
0.8,,,0.9,,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847
0.9,,,0.6,,0.7,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848
0.9,,,,,,,0.6,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849
0.9,,,0.5,,0.6,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850
,,,0.9,,,,,,,0.7,,0.9,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851
0.9,0.6,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852
1.0,,,,,,,,,,,0.6,,,,,0.7,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853
,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854
0.8,,,0.7,,0.6,,0.9,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855
,,,,,,,,,,,,0.8,,0.6,,,,,,,,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856
,,,,,0.7,,0.9,,0.8,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1857
0.9,,,,,0.7,,0.4,,0.6,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858
0.8,,,0.9,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859
0.9,0.7,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860
0.5,,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861
0.8,,,,,0.7,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862
0.9,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863
0.9,0.6,,,,0.5,,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864
0.9,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.5,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865
0.8,,,0.9,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866
0.9,0.8,,,0.6,0.5,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867
1.0,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868
1.0,0.8,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1869
0.9,0.7,,,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870
0.7,,,0.5,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871
0.6,,,,,0.8,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872
0.6,,,0.7,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873
0.7,,,0.8,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874
0.9,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875
,,,0.7,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876
0.9,0.5,,,,0.6,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877
0.9,0.7,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878
0.9,0.5,,0.7,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880
0.9,,,,,0.6,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881
0.9,0.8,,,0.7,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882
,,,0.9,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883
0.9,0.7,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884
