Electronic,Indie Pop,Synthpop,Alternative Dance,Classic Rock,Country,Psychedelic,Progressive Rock,Pop,Indie,Alternative,Rock,Alternative Rock,Brazilian Rock,Experimental,Metal,Ambient,K-Pop,R&B,Soul,Dance,Indie Folk,Reggaeton,Latin,Classical,Hip-Hop,Electropop,Alternative R&B,Synth-pop,MPB,Shoegaze,Punk,Neofolk,Contemporary Classical,MPB (Brazilian Popular Music),Grunge,Industrial,Gothic Rock,Pop Rock,Pop Punk,Hip Hop,Emo,Indie Rock,Post-Hardcore,Goth,Heavy Metal,Hard Rock,Rap,Reggae,Punk Rock,Folk,Psychedelic Rock,Garage Rock,Dream Pop,Bossa Nova,Britpop,Baroque Pop,Psychedelic Pop,Classic,Disco,Gothic Metal,Trance,Art Pop,Post-Punk,J-Pop,Electronic Rock,Symphonic Rock,Metalcore,Alternative Metal,Screamo,Black Metal,Folk Metal,Death Metal,Blues,New Age,Instrumental Rock,New Wave,Comedy,Italian Pop,Post-Rock,Sertanejo,Synthwave,Rock n Roll,International,Symphonic Metal,Jazz,Neo-Soul,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2908
,,,,0.9,0.7,0.8,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2909
0.7,,,,,,,,0.5,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2910
,,,,,,,,,0.7,,,0.8,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2911
0.8,,,,,,,,,0.9,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2912
,,,,,,,,0.9,,0.7,0.5,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2913
,,,,,,,,0.9,0.5,,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2914
,,,,,,,,0.9,,0.6,,,,,,,,,,,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2916
,,,,,,,,0.8,0.9,0.9,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2919
,,,,,,,,0.9,0.6,0.7,,,,,,,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2920
,,,,,,,,0.8,0.7,,0.7,,,,,,,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2921
0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2922
,,,,,,,,0.9,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2923
0.5,,,,,,,,,0.9,0.8,,,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2924
,,,,,,,,0.7,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925
0.7,,,,,,,,0.9,0.5,,,,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2927
,,,,,,,,0.8,0.9,0.9,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2928
