Pop,Electronic,Alternative,Indie,Rock,Latin,R&B,Funk,Folk,Ambient,Soul,Brazilian Music,Indie Pop,Alternative R&B,Electropop,Synth-pop,Art Pop,Dance,Hip Hop,Rap,Sertanejo,MPB (Brazilian Popular Music),Experimental,Brazilian,World,Symphonic Metal,Bossa Nova,Samba,Tropic\u00e1lia,Classic Rock,MPB,World Music,Disco,MPB (Popular Brazilian Music),Jazz,Alternative Rock,Classical,Indie Folk,K-Pop,Brazilian Pop,Heavy Metal,Blues,Psychedelic Rock,Hip-Hop,Post-Rock,Indie Rock,Country,Post-Punk,Gothic Rock,Brazilian Rock,Metal,Trap,Dream Pop,Psychedelic,Alternative Dance,Brazilian Funk,Pop Punk,Britpop,Emo,Punk,Children's Music,Baroque,user_id
0.8,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049
0.8,,0.6,0.4,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050
0.9,0.7,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051
0.9,,0.6,0.8,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052
0.9,,,0.8,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053
0.8,,0.6,,0.7,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055
0.9,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056
,,,,,,,,,,,,0.9,0.8,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058
0.9,,,0.6,,,,,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059
0.9,,0.5,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060
0.6,,0.7,,0.5,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061
0.9,,,,,0.6,0.7,,,,,,,,,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063
0.8,,0.7,0.9,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064
0.6,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065
