Indie Pop,Alternative,Pop,Folk,Electronic,Dance,K-Pop,Indie,R&B,Rock,Soul,Industrial,Metal,Art Pop,Experimental,Synth-pop,Country,Punk,Rap,Psychedelic,Hip-Hop,Teen Pop,Classical,Death Metal,Rock n Roll,Electropop,Musical,Trip Hop,Jazz,Latin,MPB (Brazilian Popular Music),Classic Rock,Soundtrack,Gospel,Contemporary Christian,J-Pop,Progressive,Contemporary,Neo-Soul,Neoclassical,Alternative R&B,Contemporary R&B,Post-Punk,New Age,Brazilian,Grunge,user_id
0.9,0.8,1.0,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912
,,0.9,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913
,,0.9,,0.7,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914
,0.7,0.9,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915
,,0.9,,0.7,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916
,0.6,0.9,,,,,0.7,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917
,0.9,0.5,,,,,,,0.7,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919
,,0.9,,0.7,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921
,0.8,,,0.7,,,0.9,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926
,0.5,0.9,,,,,0.4,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928
,0.6,0.9,,0.7,,,0.8,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933
,0.7,0.8,,,,,0.5,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936
,,0.9,,0.7,0.8,,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938
,0.8,0.9,,0.5,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940
,0.7,0.5,,,,,0.6,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941
,,0.6,0.4,,,,,,0.8,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,942
,,0.9,,,0.8,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943
,,0.9,,,0.6,,,0.8,,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,944
,,1.0,,,0.8,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,945
,0.7,0.9,,0.6,,,0.5,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949
,,1.0,,0.6,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951
,,,,0.6,,,,,,,,,,,,,0.8,,,,,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,953
0.7,0.5,,,,0.6,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,957
,,0.9,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,958
,0.6,0.9,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959
,,0.8,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,968
,,0.9,,0.7,,,0.6,,,0.5,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,969
,,0.9,,,0.6,,0.5,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970
,,0.9,,0.5,0.7,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,971
,,0.9,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,972
,,0.9,,0.6,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973
,0.5,1.0,,0.6,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974
,0.5,0.9,,,,,,0.8,,,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,975
0.7,,1.0,,0.6,,,,,,,,,,,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,976
,,0.9,,,,,0.6,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977
,,1.0,,,0.7,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,978
,0.8,0.6,,0.7,,,0.9,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980
,0.8,0.7,0.6,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981
,,0.9,,,,,0.5,0.8,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,982
,,0.9,,0.8,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,983
,,0.9,,,,,0.5,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984
,0.4,0.9,,,,,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986
