Hip Hop,Samba,Rap,Brazilian Rock,Alternative,Rock,Indie,Hip-Hop,Pop,Dream Pop,Lo-Fi,Electronic,R&B,Metal,Pop Rock,Punk,Indie Pop,Alternative Rock,Classic Rock,Punk Rock,Indie Rock,Post-Hardcore,Experimental Rock,Pop Punk,Emo,Metalcore,Reggae,Hard Rock,Grunge,Folk,MPB (Brazilian Popular Music),Blues,Psychedelic Rock,Progressive Rock,Psychedelic,Gothic,Industrial,Nu Metal,Dance,Symphonic,Latin,Country,Gospel,Boy Band,Brazilian,Tango,Soul,Heavy Metal,Thrash Metal,Black Metal,Doom Metal,Hardcore Punk,Gothic Rock,Sertanejo,Hardcore,Deathcore,Screamo,Reggaeton,K-Pop,Garage,Jazz,Alternative Metal,Ambient,Funk,Brazilian Music,Pagode,Disco,Synthwave,French House,Classical,Melodic Hardcore,Skate Punk,Garage Rock,Brazilian Pop,Ska,Death Metal,NSBM,user_id
0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9609
,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9610
,,,,0.8,,0.9,0.7,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9611
,,,,0.8,,0.9,0.8,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9612
,,,,,0.8,0.7,0.6,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9613
,,,,,,,,,,,,,,0.8,0.7,0.6,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9614
,,,,0.6,0.7,0.8,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9615
,,,,,,,,,,,,,,,,,0.9,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9616
,,,,,,0.7,,,,,,,,,,,0.8,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9617
,,,,0.8,0.9,,,0.7,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9618
,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9619
,,,,0.6,,0.7,0.7,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9620
,,,,,,,,,,,,,,0.8,,,0.9,,,0.7,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9621
,,,,0.8,0.7,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9623
,,,,,0.8,0.9,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9624
,,,,0.8,0.9,,,0.7,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9625
,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9626
0.7,,,,,,,,,,,,,,,,,0.8,,,0.8,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9627
,,,,0.8,0.9,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9628
,,,,0.6,0.8,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9629
,,,,,0.6,,,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9630
,,,,0.8,0.9,,,,,,,,0.7,,0.6,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9631
,,,,,,,,,,,,,,,,,0.9,,,0.8,,,,,,,,0.8,,,,0.7,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9632
,,,,,0.7,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9633
,,,,0.7,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9634
,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9635
,,,,,,0.5,,0.9,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9636
,,,,0.8,0.6,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9639
