Pop Punk,Pop,Alternative Rock,Emo,Dance,Electronic,Synth-pop,R&B,Rock,Hip-Hop,Soul,Indie,Alternative,Latin,Country,Brazilian,Visual Kei,MPB (Brazilian Popular Music),J-Pop,K-Pop,Teen Pop,Acoustic,Folk,Singer-Songwriter,Gospel,Christian,Industrial,World,Ambient,Experimental,Classic Rock,Punk,Celtic,Metal,Progressive Rock,Power Metal,Symphonic Metal,Progressive Metal,Heavy Metal,Indie Pop,Art Pop,Baroque Pop,Disco,Electro Swing,Indie Rock,Eurovision,Turkish Pop,Dance-pop,Children's Music,Post-Hardcore,Metalcore,Dancehall,Hip Hop,Rap,Pop Rock,Reggaeton,Jazz,New Wave,user_id
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3274
,1.0,,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3275
,0.9,,,0.8,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3277
,0.9,,,0.8,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278
,0.9,,,0.6,,,0.8,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3279
,0.9,,,,,,0.7,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280
,0.9,,,,,,,0.7,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281
,0.9,,,0.8,0.7,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3282
,1.0,,,0.7,,,0.8,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3283
,1.0,,,0.8,,,0.6,0.3,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3284
,0.9,,,0.8,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3285
,0.9,,,,,,,0.6,,,0.7,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3286
,1.0,,,0.8,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3287
,0.9,,,,0.7,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3288
