Indie,Pop,Rock,Alternative,Folk,Country,Reggae,Punk,Electronic,Metal,Hip-Hop,Hip Hop,Psychedelic,Classical,Turkish Hip-Hop,Blues,Funk,World,EDM,Drum and Bass,House,Death Metal,Progressive Metal,Alternative Rock,Technical Death Metal,Melodic Death Metal,Jazz,Soul,Trip-Hop,Downtempo,Experimental,Art Pop,Progressive,Post-Rock,Classic Rock,Heavy Metal,World Music,Italian Music,Turkish Alternative,Rap,Psychedelic Rock,Alternative R&B,Turkish Hip Hop,Turkish Rock,R&B,Punk Rock,Indie Rock,Grunge,Glam Rock,Britpop,New Wave,Synthpop,Dance,Indie Folk,Synth-pop,Gothic Rock,Industrial,Post-Punk,Disco,Industrial Metal,Italian Pop,K-Pop,Soundtrack,Gospel,New Age,Progressive Rock,Ambient,Eurodance,Pop Rock,German Rock,Horrorcore,Underground Hip-Hop,Gangsta Rap,Soft Rock,Trance,Neofolk,Indie Pop,Neue Deutsche H\u00e4rte,Black Metal,Doom Metal,Swedish Pop,user_id
0.8,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2671
0.7,,0.9,,0.6,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2672
0.6,0.7,0.9,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2673
0.6,0.9,0.8,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674
0.9,0.7,0.6,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2676
0.8,0.7,0.9,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677
,0.5,0.6,0.8,,,,,0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678
0.8,,0.9,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2679
,,0.9,0.8,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2680
,0.7,0.8,,,,,,,,,,0.4,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2681
0.9,,0.8,0.8,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2682
,,0.9,0.8,,,,,,0.7,,,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2683
,0.7,0.5,,,,,,,,,,,,,,,,0.9,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2684
,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2685
,,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.8,0.7,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2686
0.9,0.6,,0.8,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2687
0.8,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2688
,,0.9,,0.6,,,,,,,,,,,0.8,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2689
,,0.8,0.9,0.6,,,,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690
0.9,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2691
0.9,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2692
,,0.9,,,,,,,0.8,,,0.5,,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2693
,0.8,0.9,,,,,,0.7,0.6,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695
0.9,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2696
,,0.9,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2698
0.7,,,,0.5,,,,0.8,,0.4,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2699
0.8,,0.8,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700
0.7,0.8,,0.7,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2701
0.7,0.5,0.8,0.9,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2703
,,0.7,,,,,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2704
0.8,0.7,0.9,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2705
,0.7,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2706
,0.6,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2707
0.7,0.6,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708
