K-Pop,Pop,R&B,Indie,Rap,Dance,Electronic,Rock,Soul,Classic Rock,Comedy,Alternative,Teen Pop,Pop Rock,Hip-Hop,Latin,Electropop,Folk,Country,Punk,Progressive Rock,Gothic Rock,Alternative Metal,Indie Pop,Soundtrack,Classical,World,Ambient,Metal,Death Metal,Pop Punk,Art Pop,Experimental,Heavy Metal,Jazz,World Music,Symphonic Metal,Melodic Death Metal,Gothic Metal,Black Metal,Progressive Metal,Dream Pop,Classical Crossover,Progressive,Alternative Rock,Art Rock,Indie Rock,Persian Pop,Psychedelic Rock,Space Rock,Folk Rock,New Age,Post-Rock,Neoclassical,Doom Metal,Trip-Hop,Folk Metal,Gothic,Emo,Blues,Persian Rap,Hardcore,Post-Hardcore,Metalcore,Singer-Songwriter,Hip Hop,Psychedelic,Indie Folk,Britpop,Hard Rock,Acoustic,Post-Punk Revival,user_id
0.8,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3517
0.9,0.8,0.7,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3518
1.0,0.8,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3519
,0.9,0.7,0.6,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520
,0.7,,,,,,0.9,,0.8,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3522
,0.9,,,,0.8,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3523
,1.0,0.6,,,0.7,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3525
,1.0,0.7,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3526
0.5,0.9,0.7,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3527
,0.9,,0.8,,,,0.7,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3528
0.6,0.9,,0.7,,,0.5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3529
,1.0,0.6,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3530
,0.9,0.7,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3531
