Alternative Rock,Symphonic Metal,Indie Pop,Classical,Electronic,Rock,Alternative,Metal,Punk,Pop,Country,Asian Pop,Heavy Metal,Gothic Rock,Hard Rock,Folk Metal,Power Metal,Progressive Rock,Hip-Hop,R&B,Indie,Folk,Americana,Bluegrass,Nu Metal,J-Pop,Hardcore,Ambient,Post-Rock,Jazz,New Wave,Punk Rock,Rap Metal,Alternative Metal,Post-Hardcore,Post-Punk,Garage Rock,Gothic,Dance,Teen Pop,Pop Rock,Soul,Sertanejo,Pop Punk,Samba,Latin,Gospel,Drag Music,K-Pop,Classic Rock,Brazilian,Synthpop,Gothic Metal,Metalcore,Turkish Pop,International,New Age,MPB,Singer-Songwriter,Indie Rock,Grunge,Twee Pop,C86,Psychedelic Rock,Rap,Comedy,MPB (Brazilian Popular Music),Hip Hop,Emo,Indie Folk,Synth-pop,Psychedelic,Post-Britpop,Experimental,Downtempo,Glam Rock,Soft Rock,Folk Rock,Experimental Rock,user_id
0.8,0.7,0.6,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7713
,,,,0.6,0.9,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7714
,,,,,0.7,0.6,,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7715
,0.9,,,,,,,,0.6,,,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7716
,0.9,,,,,,,,0.6,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7718
,,,,,,,,,,,,0.9,0.5,0.8,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7719
,0.7,,,,,,,,,,,0.9,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7721
,,,,,0.4,0.6,,,0.8,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7722
,,,,,0.7,0.8,,,0.6,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7724
,,,,,,,,,,0.9,,,,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7726
